Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2019-01-01,553.448486328125,554.4887248374226,544.3776370027874,550.0365243347873,2943390
2019-01-02,556.7771606445312,560.8965146420975,550.9518259227291,554.2389892457521,7416655
2019-01-03,556.8603515625,563.3930273527608,551.8255578772572,559.2320744181023,6827249
2019-01-04,550.1198120117188,560.813496091407,541.7563032037895,559.0242652490715,7889310
2019-01-07,558.9826049804688,560.56373712221,550.4942481385732,553.4069161181424,8046340
2019-01-08,557.609375,563.7676065703065,556.3610889351722,561.6871297955935,8621545
2019-01-09,562.6441040039062,574.0451265914124,552.5746169933219,571.0492604308932,18130292
2019-01-10,565.6400146484375,567.5540430514704,559.6898309767104,567.2211464627308,9572493
2019-01-11,568.8024291992188,570.4668108501309,559.6483301192021,566.0562096337932,12281903
2019-01-14,584.11474609375,591.0219196136802,579.1632006475647,588.3588988802541,19312937
2019-01-15,604.6697998046875,607.4992687709153,588.5253291651422,588.5253291651422,19671304
2019-01-16,613.1580200195312,613.9902106142356,606.2508482420624,607.4159353918016,9658944
2019-01-17,610.287109375,614.9890077623305,606.75029843726,612.3259870153353,6903771
2019-01-18,608.289794921875,612.6587960437128,604.4200878968061,607.4992036079171,5902151
2019-01-21,619.9821166992188,624.9752612632393,610.8280183318477,614.3232296852407,8129422
2019-01-22,620.2732543945312,623.3107704555605,610.827911234154,616.8612931911672,6723375
2019-01-23,608.872314453125,617.9847615120964,606.8334371850922,617.7767138478662,7212099
2019-01-24,612.5123291015625,615.9430471280681,603.3079088555007,609.2489233127504,7429783
2019-01-25,611.131591796875,617.4492114487061,606.0273432662095,609.1652135282023,5543112
2019-01-28,609.1233520507812,613.0142803188987,601.6342918886505,611.6754761760828,7944693
2019-01-29,609.08154296875,613.223490758644,599.5423971697263,607.0732856198695,6760819
2019-01-30,607.4080810546875,614.8552631674062,603.3915659016351,609.0816120110889,5763026
