Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2019-02-19,1587.22412109375,1642.3869500635794,1576.5581479047653,1641.5536740868856,4408554
2019-02-20,1595.5150146484375,1611.3889610827289,1567.641976740625,1595.7233336214952,4645778
2019-02-21,1595.0565185546875,1616.5550751903913,1580.7659197542707,1595.5148609385576,4683919
2019-02-22,1604.5977783203125,1608.222508189421,1587.4739176623943,1597.5565358415897,2271955
2019-02-25,1654.177490234375,1658.2188575586465,1608.6389469934509,1610.3054986090876,2934880
2019-02-26,1698.7996826171875,1704.1743736649737,1643.4285349915544,1653.219527657875,6453309
2019-02-27,1714.9654541015625,1729.00603294361,1684.8841084757278,1699.8830768004375,4732082
2019-02-28,1652.760986328125,1726.0060574810766,1647.8863428244172,1716.548294966736,8454295
2019-03-01,1662.7188720703125,1670.7183009481585,1650.1780281763913,1662.4272458277635,4148548
2019-03-05,1656.6357421875,1672.384676525334,1647.0530696513558,1670.7181247799176,2449622
2019-03-06,1666.218505859375,1679.050975344617,1654.0944022792767,1657.6358249319887,2635047
2019-03-07,1677.6341552734375,1686.5918698374871,1666.7181612673107,1670.7179256669242,2539884
2019-03-08,1685.4671630859375,1694.0499457512203,1674.9263040701048,1687.383738389681,2031071
2019-03-11,1678.88427734375,1694.0498576149323,1669.5932309733391,1690.6334468635393,3111689
2019-03-12,1676.926025390625,1687.217064014379,1669.0516089115667,1678.2593481902156,2658550
2019-03-13,1666.968505859375,1679.8009755857972,1648.7197425623024,1677.3844550337024,1833163
2019-03-14,1656.0521240234375,1673.0509684161252,1650.71913927225,1670.6760513288123,1905495
2019-03-15,1699.84130859375,1724.0063122110694,1659.0524897269927,1665.6353903663971,5184318
2019-03-18,1685.5504150390625,1720.3813859458098,1675.7177194094327,1702.3825463716912,2349915
2019-03-19,1685.5504150390625,1691.5499604182737,1662.468613168912,1691.5499604182737,2373993
2019-03-20,1679.0924072265625,1703.882361770888,1666.5515660050803,1689.8832879291513,3091165
2019-03-22,1671.260009765625,1679.8843959188778,1652.6363117319027,1679.0511199288387,3148149
2019-03-25,1653.427734375,1673.051422860981,1647.5530984868208,1673.051422860981,2429205
2019-03-26,1652.0943603515625,1662.3435921267592,1631.595795082927,1653.219262389076,2316539
2019-03-27,1639.8037109375,1664.8852959024905,1634.0540867191112,1661.55219220699,2266166
2019-03-28,1666.8021240234375,1678.7179105112023,1643.887032641273,1649.8865795158417,4054489
2019-04-01,1692.9249267578125,1699.8410553871108,1673.4262512274474,1674.8844839871379,2095740
2019-04-02,1732.6304931640625,1738.2134005994965,1697.3828844780319,1697.4661917183048,3719663
2019-04-03,1732.6304931640625,1741.213274995259,1714.9650860600318,1737.380124760283,2939886
